division_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_all,unmet_need_for_modern_methods,unmet_need_for_any_method,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id
894,2001.832886,2002.411011,N,15-49,DHS,UW,0.0858174,0.009340108,,,0.099662228,N,,N,,N,,None,None,N,,N,0.004083662,7.43E-04,0.003383218,0.087129263,0.214400265,0.072002151,1696,N_79
716,1988.668457,1989.082153,N,15-49,DHS,UW,0.1206675,0.016046213,,0.016046213,,N,,N,,N,,None,None,N,,N,,,,,,,1697,N_80
716,2005.580811,2006.158936,N,15-49,DHS,UW,0.1256235,0.001261162,,,0.032876679,N,,N,,N,,None,None,N,,N,0.007141199,6.00E-04,0.003508535,0.064971641,0.475748408,0.111827368,1698,N_81
894,1996.498657,1997.082153,N,15-49,DHS,UW,0.0630095,0.023283572,,,0.111857173,N,,N,,N,,None,None,N,,N,0.005024906,0.002727147,0.006109612,0.085934754,0.121932414,0.061881145,1699,N_82
716,1999.665771,1999.997314,N,15-49,DHS,UW,0.1237022,0.004177302,,,0.048019586,N,,N,,N,,None,None,N,,N,0.008488384,0.001286335,0.004405059,0.078420215,0.309917142,0.098512581,1700,N_83
716,1994.49585,1994.912354,N,15-49,DHS,UW,0.1311370,0.009492618,,,0.066985143,N,,N,,N,,None,None,N,,N,0.009560011,0.002042907,0.005505548,0.084820767,0.222315401,0.092503806,1701,N_84
686,2005.084961,2005.411011,N,15-49,DHS,UW,0.0202569,0.0014386,,,0.018599531,N,,N,,N,,None,None,N,,N,0.003530753,7.39E-04,0.00256415,0.177838054,0.514201625,0.140554675,1705,N_85
174,1996.164429,1996.413696,N,15-49,DHS,UW,0.0360169,0.019774011,,,0.029661017,N,,N,,N,,None,None,N,,N,0.007237916,0.005110935,0.00444052,0.209592238,0.265262587,0.154470701,1707,N_86
450,1992.331543,1992.915039,N,15-49,DHS,UW,0.0104765,0.072788385,,0.072788385,,N,,N,,N,,None,None,N,,N,0.001963601,0.006127311,0,0.19054195,0.091162586,,1708,N_87
178,2005.49585,2005.912354,N,15-49,DHS,UW,0.1461117,0.292823119,,,0.087295155,N,,N,,N,,None,None,N,,N,0.009463168,0.012131533,0.006514044,0.078581484,0.060694058,0.083277606,1709,N_88
214,2002.49585,2002.997314,N,15-49,DHS,UW,0.2203399,0.01530762,,,0.041928413,N,,N,,N,,None,None,N,,N,0.006922091,0.002239644,0.003122843,0.040137932,0.148155009,0.080473053,1710,N_89
214,1986.665771,1986.997314,N,15-49,DHS,UW,0.0877059,0.002419701,,0.002419701,,N,,N,,N,,None,None,N,,N,,,,,,,1711,N_90
170,1986.665771,1986.997314,N,15-49,DHS,UW,0.0834046,0.008550582,,0.008550582,,N,,N,,N,,None,None,N,,N,,,,,,,1712,N_91
466,2001,2001.411011,N,15-49,DHS,UW,0.0656095,0.03632854,,,0.103311202,N,,N,,N,,None,None,N,,N,0.005251825,0.005016799,0.007432025,0.118281053,0.176842654,0.105336362,1714,N_92
466,1995.832886,1996.413696,N,15-49,DHS,UW,0.0813450,0.063776202,,,0.103450936,N,,N,,N,,None,None,N,,N,0.006234495,0.003973281,0.006275425,0.121268864,0.133844819,0.10781488,1715,N_93
108,1987.161621,1987.578125,N,15-49,DHS,UW,0.0060421,0.010196518,,0.010196518,,N,,N,,N,,None,None,N,,N,,,,,,,1716,N_94
646,2005.084961,2005.578125,N,15-49,DHS,UW,0.0123826,0.009393454,,,0.041999343,N,,N,,N,,None,None,N,,N,0.001476916,0.001363485,0.002938796,0.120842554,0.146609779,0.073066708,1717,N_95
144,1987,1987.243896,N,15-49,Other,FM,0.0092000,1.60E-04,,1.60E-04,,N,,N,,N,,None,None,N,,N,,,,,,,1718,N_96
710,2003.747925,2004.665771,N,15-49,DHS,UW,0.4433037,0,,0,,N,,N,,N,,None,None,N,,N,,,,,,,1720,N_97
710,1998,1998.745239,N,15-49,DHS,UW,0.4493418,0.004761193,,,0.087431982,N,,N,,N,,None,None,N,,N,0.00827342,8.70E-04,0.00383947,0.035172461,0.20289162,0.05393133,1721,N_98
800,1995.161621,1995.662964,N,15-49,DHS,UW,0.0635474,0.031697257,,,0.083272181,N,,N,,N,,None,None,N,,N,0.00619745,0.003971511,0.007512437,0.10557167,0.141746497,0.107143194,1723,N_99
400,1997.413696,1997.830078,N,15-49,Other,FM,0.0016000,,0.0016,,,N,,N,,N,,None,-,N,,N,0.009974106,0,0,0.394802954,,,1724,N_100
400,2002.49585,2002.745239,N,15-49,Other,FM,0.0015200,,0.00152,,,N,,N,,N,,None,-,N,,N,0.015969852,0,0,0.60204472,,,1725,N_101
400,1990.747925,1990.997314,N,15-49,Other,FM,0.0016700,,0.00167,,,N,,N,,N,,None,-,N,,N,0.009000092,0,0,0.38994541,,,1727,N_102
450,1997.665771,1997.997314,N,15-49,DHS,UW,0.0325805,0.069331839,,,0.108858091,N,,N,,N,,None,None,N,,N,0.003906555,0.005377499,0.006697809,0.139024107,0.087520079,0.070711767,1729,N_103
686,1992.835571,1993.662964,N,15-49,DHS,UW,0.0392473,0.020967742,,,0.043548387,N,,N,,N,,None,None,N,,N,0.005049361,0.003400951,0.005407798,0.13493323,0.167175758,0.131269788,1730,N_104
562,1992.164429,1992.49585,N,15-49,DHS,UW,0.0265436,0.012343419,,0.012343419,,N,,N,,N,,None,None,N,,N,0.004461025,0.003424882,0,0.172900375,0.281273654,,1731,N_105
140,1994.665771,1995.243896,N,15-49,DHS,UW,0.0400217,0.08496584,,,0.085417312,N,,N,,N,,None,None,N,,N,0.004695562,0.008801796,0.006759484,0.124908237,0.114619905,0.089464128,1732,N_106
484,1987.084961,1987.411011,N,15-49,DHS,UW,0.0454862,0.002771823,,0.002771823,,N,,N,,N,,None,None,N,,N,,,,,,,1733,N_107
450,2003.832886,2004.246582,N,15-49,DHS,UW,0.0625673,0.052668659,,,0.082313031,N,,N,,N,,None,None,N,,N,0.006237533,0.008025335,0.00742586,0.106929466,0.161153224,0.098896388,1734,N_108
768,1998.084961,1998.411011,N,15-49,DHS,UW,0.0974425,0.195269813,,,0.101006407,N,,N,,N,,None,None,N,,N,0.007632985,0.011068446,0.006507695,0.089498005,0.072416125,0.072739624,1735,N_109
562,2006,2006.411011,N,15-49,DHS,UW,0.0208420,0.002877759,,,0.011864688,N,,N,,N,,None,None,N,,N,0.00190267,9.33E-04,0.001014189,0.22758947,0.494959512,0.21792567,1736,N_110
266,2000.498657,2001.082153,N,15-49,DHS,UW,0.1801315,0.20908458,,,0.134004913,N,,N,,N,,None,None,N,,N,0.010594092,0.008780325,0.008332295,0.075155141,0.056375113,0.072708335,1737,N_111
324,1992.331543,1992.580811,N,15-49,DHS,UW,0.0503475,0.028985483,,0.028985483,,N,,N,,N,,None,None,N,,N,,,,,,,1738,N_112
324,1999.328735,1999.578125,N,15-49,DHS,UW,0.0786007,0.060195531,,,0.07982944,N,,N,,N,,None,None,N,,N,0.005780826,0.006035001,0.006280374,0.113529257,0.137702339,0.107751906,1739,N_113
324,2005.084961,2005.493164,N,15-49,DHS,UW,0.1121857,0.043770719,,,0.096808161,N,,N,,N,,None,None,N,,N,0.004914401,0.00219247,0.006244595,0.117286378,0.169757992,0.094803461,1740,N_114
780,1987.328735,1987.662964,N,15-49,DHS,UW,0.0294365,0.006728343,,0.006728343,,N,,N,,N,,None,None,N,,N,,,,,,,1741,N_115
566,1990.246582,1990.830078,N,15-49,DHS,UW,0.0450357,0.085463749,,,0.011888339,N,,N,,N,,None,None,N,,N,0.005135946,0.008077253,0.002441538,0.146763114,0.130055189,0.256123652,1742,N_116
288,1998.832886,1999.158936,N,15-49,DHS,UW,0.0582738,0.049915952,,,0.086905575,N,,N,,N,,None,None,N,,N,0.00584136,0.005036855,0.006570676,0.113933895,0.123931271,0.096336113,1751,N_117
288,2003.49585,2003.830078,N,15-49,DHS,UW,0.0964058,0.035764753,,,0.078100855,N,,N,,N,,None,None,N,,N,0.002674403,0.00197728,0.002923473,0.082847795,0.152459128,0.090447985,1752,N_118
288,1988.084961,1988.49585,N,15-49,DHS,UW,0.0353118,0.07362885,,0.07362885,,N,,N,,N,,None,None,N,,N,,,,,,,1753,N_119
288,1993.665771,1994.158936,N,15-49,DHS,UW,0.0729013,0.084683358,,,0.032400589,N,,N,,N,,None,None,N,,N,0.007572739,0.007242564,0.005124848,0.111549803,0.092832612,0.163777607,1754,N_120
792,2003.915039,2004.413696,N,15-49,Other,FM,0.0028800,,0.00288,,,N,,N,,N,,None,-,N,,N,0.009032856,0,0,0.293759358,,,1755,N_121
792,1993.580811,1993.830078,N,15-49,Other,FM,0.0014100,,0.00141,,,N,,N,,N,,None,-,N,,N,0.008479687,0,0,0.461597684,,,1757,N_122
508,2003.580811,2004.082153,N,15-49,DHS,UW,0.2357579,0.022195622,,,0.111930282,N,,N,,N,,None,None,N,,N,0.007829248,0.001557111,0.004298966,0.06142479,0.124619429,0.086930946,1758,N_123
558,2001.665771,2001.997314,N,15-49,DHS,UW,0.1471982,0.005120208,,,0.040063736,N,,N,,N,,None,None,N,,N,0.006342361,0.00146512,0.003340018,0.053533399,0.289723199,0.091089064,1759,N_124
204,2001.580811,2001.912354,N,15-49,DHS,UW,0.0631099,0.094054907,,,0.088493253,N,,N,,N,,None,None,N,,N,0.006046686,0.00644673,0.006440241,0.125251821,0.088200208,0.093317601,1761,N_125
148,2004.55896,2004.942505,N,15-49,DHS,UW,0.0110326,0.003397253,,,0.030399794,N,,N,,N,,None,None,N,,N,0.002974333,0.00126044,0.00563809,0.274067488,0.374374771,0.191480186,1762,N_126
320,1987.665771,1987.997314,N,15-49,DHS,UW,0.0286035,0.002804262,,0.002804262,,N,,N,,N,,None,None,N,,N,,,,,,,1763,N_127
332,1994.49585,1995.082153,N,15-49,DHS,UW,0.0292990,0.014890016,,0.014890016,,N,,N,,N,,None,None,N,,N,0.003994538,0.002780105,0,0.141121934,0.190491068,,1764,N_128
332,2000.084961,2000.580811,N,15-49,DHS,UW,0.0575408,0.012497289,,,0.059392515,N,,N,,N,,None,None,N,,N,0.006033512,0.002481229,0.005584572,0.112198079,0.203310029,0.101865152,1765,N_129
68,1998.161621,1998.745239,N,15-49,DHS,UW,0.0366280,0.029244973,,,0.030097047,N,,N,,N,,None,None,N,,N,0.002523813,0.00244224,0.002286255,0.107835863,0.108157423,0.104081041,1766,N_130
508,1997.161621,1997.578125,N,15-49,DHS,UW,0.0620451,0.010633776,,,0.147198495,N,,N,,N,,None,None,N,,N,0.007646671,0.002076504,0.010028531,0.149237662,0.318937229,0.109211457,1767,N_131
68,1989.161621,1989.578125,N,15-49,DHS,UW,0.0103625,0.015772811,,0.015772811,,N,,N,,N,,None,None,N,,N,,,,,,,1768,N_132
68,1993.832886,1994.411011,N,15-49,DHS,UW,0.0226264,0.030809488,,,0.033514617,N,,N,,N,,None,None,N,,N,0.003093036,0.003248409,0.003192798,0.153291117,0.118570769,0.104114692,1769,N_133
320,1995.413696,1995.997314,N,15-49,DHS,UW,0.0306316,0.001718093,,,0.022574375,N,,N,,N,,None,None,N,,N,0.003830147,8.45E-04,0.00277439,0.131602833,0.492314776,0.126536992,1770,N_134
604,1986.665771,1986.997314,N,15-49,DHS,UW,0.0185803,0.016674607,,0.016674607,,N,,N,,N,,None,None,N,,N,,,,,,,1771,N_135
604,1991.747925,1992.246582,N,15-49,DHS,UW,0.0401479,0.031416383,,,0.017573393,N,,N,,N,,None,None,N,,N,0.002633246,0.002271609,0.001470715,0.072079686,0.077877295,0.096240225,1772,N_136
604,1996.583618,1996.915039,N,15-49,DHS,UW,0.0536532,0.028603726,,,0.026765814,N,,N,,N,,None,None,N,,N,0.003078738,0.001801681,0.001795085,0.066336728,0.070541439,0.074943553,1773,N_137
604,2000.498657,2000.915039,N,15-49,DHS,UW,0.0844413,0.036457093,,,0.028242441,N,,N,,N,,None,None,N,,N,0.002968662,0.001916521,0.001845152,0.046034405,0.071988153,0.076788947,1774,N_138
558,1997.915039,1998.411011,N,15-49,DHS,UW,0.1242646,0.003565873,,,0.032266857,N,,N,,N,,None,None,N,,N,0.005767734,8.84E-04,0.00275382,0.054548773,0.278042748,0.090535235,1775,N_139
854,1992.917847,1993.243896,N,15-49,DHS,UW,0.0319994,0.04889154,,,0.019941485,N,,N,,N,,None,None,N,,N,0.004921276,0.006742328,0.005170033,0.172847622,0.158842984,0.267205764,1776,N_140
854,1998.832886,1999.243896,N,15-49,DHS,UW,0.0993443,0.025610862,,,0.060424288,N,,N,,N,,None,None,N,,N,0.008133415,0.003698678,0.00664281,0.103526686,0.169994217,0.120155762,1777,N_141
384,1998.665771,1999.243896,N,15-49,DHS,UW,0.1389288,0.15803671,,,0.112539538,N,,N,,N,,None,None,N,,N,0.010325472,0.013005848,0.012062097,0.091578704,0.104766392,0.134239194,1778,N_142
